Keyword,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Searches: Oct 2014,Searches: Nov 2014,Searches: Dec 2014,Searches: Jan 2015,Searches: Feb 2015,Searches: Mar 2015,Searches: Apr 2015,Searches: May 2015,Searches: Jun 2015,Searches: Jul 2015,Searches: Aug 2015,Searches: Sep 2015,Searches: Oct 2015,Searches: Nov 2015,Searches: Dec 2015,Searches: Jan 2016
CHASE,7480000,9140000,7480000,7480000,7480000,7480000,7480000,7480000,9140000,7480000,7480000,7480000,7480000,7480000,7480000,7480000,7480000,7480000,9140000,7480000,7480000,7480000,7480000,7480000
ETSY,4090000,5000000,5000000,5000000,4090000,5000000,5000000,5000000,5000000,6120000,6120000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,6120000,6120000,6120000
TESCO,33100,33100,33100,33100,33100,40500,40500,49500,60500,49500,49500,40500,40500,40500,40500,33100,33100,40500,40500,40500,40500,40500,40500,40500
PLANET FITNESS,1220000,1220000,1220000,1220000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,2240000,1500000,1830000,1500000,1220000,1500000,1220000,1220000,1220000,1220000,1220000,1500000,2740000
BOX,201000,246000,201000,201000,201000,201000,201000,246000,246000,201000,201000,301000,246000,301000,246000,246000,246000,246000,246000,301000,301000,301000,301000,301000
WINGSTOP,550000,673000,673000,673000,673000,673000,673000,673000,673000,673000,823000,823000,823000,823000,823000,1000000,1000000,1000000,1000000,1000000,1000000,1220000,1220000,1220000
CHEGG,450000,368000,368000,550000,368000,368000,1220000,823000,550000,368000,673000,1220000,673000,550000,550000,673000,368000,368000,1220000,1000000,673000,550000,823000,1500000
SHOE CARNIVAL,450000,550000,550000,550000,450000,673000,1000000,550000,673000,823000,1000000,550000,550000,823000,673000,550000,550000,823000,1220000,673000,823000,1000000,1000000,673000
VERA BRADLEY,673000,823000,673000,673000,673000,1000000,1000000,673000,550000,823000,1000000,673000,550000,673000,673000,673000,673000,1000000,1000000,673000,550000,823000,1000000,673000
TRUECAR,368000,450000,450000,450000,368000,550000,673000,450000,450000,550000,673000,823000,673000,823000,673000,673000,673000,673000,823000,673000,673000,673000,823000,823000
NN,90500,110000,110000,110000,90500,110000,110000,90500,110000,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500,90500
KIRKLANDS,368000,450000,368000,368000,368000,450000,450000,550000,450000,673000,673000,550000,450000,550000,450000,450000,450000,550000,550000,550000,550000,823000,823000,673000
RUBY TUESDAY,368000,450000,368000,368000,368000,368000,368000,368000,368000,368000,368000,450000,450000,450000,450000,450000,450000,450000,450000,450000,450000,368000,450000,450000
SHAKE SHACK,110000,135000,135000,135000,165000,165000,165000,135000,165000,165000,201000,550000,301000,301000,301000,368000,246000,301000,301000,246000,246000,246000,246000,301000
STEIN MART,201000,246000,246000,301000,246000,201000,301000,301000,301000,368000,450000,246000,246000,368000,368000,368000,301000,301000,301000,301000,301000,450000,550000,301000
TUESDAY MORNING,165000,201000,201000,246000,201000,201000,201000,201000,246000,301000,301000,201000,201000,246000,246000,246000,246000,246000,301000,246000,246000,368000,368000,246000
BOJANGLES,135000,165000,165000,165000,165000,165000,165000,165000,201000,246000,201000,201000,201000,201000,201000,246000,246000,301000,246000,246000,246000,301000,301000,246000
OVERSTOCK COM,450000,450000,368000,368000,301000,368000,368000,301000,368000,450000,450000,301000,246000,301000,246000,246000,201000,246000,246000,201000,246000,301000,301000,246000
K12,301000,246000,246000,301000,135000,135000,246000,368000,301000,246000,201000,246000,201000,201000,201000,201000,90500,74000,201000,301000,246000,201000,165000,246000
UNIFI,8100,9900,9900,9900,9900,9900,9900,12100,12100,12100,9900,12100,12100,12100,12100,12100,12100,12100,12100,14800,14800,12100,12100,14800
CHEROKEE,60500,74000,74000,74000,60500,60500,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,90500,90500,90500,74000,90500
ANGIES LIST,135000,201000,246000,246000,246000,246000,201000,201000,201000,135000,110000,165000,165000,201000,246000,201000,246000,246000,246000,246000,201000,165000,135000,201000
BLUE NILE,165000,135000,135000,135000,110000,135000,135000,135000,135000,165000,201000,135000,135000,135000,110000,135000,110000,110000,135000,110000,110000,165000,201000,135000
CITI TRENDS,90500,110000,90500,110000,90500,110000,135000,110000,110000,135000,201000,110000,135000,165000,135000,135000,135000,165000,201000,135000,165000,165000,201000,135000
BLACK BOX,22200,90500,201000,165000,90500,135000,49500,40500,33100,27100,33100,49500,33100,40500,33100,27100,27100,27100,40500,33100,27100,27100,27100,33100
BIG 5 SPORTING GOODS,90500,110000,90500,90500,110000,110000,135000,110000,90500,110000,135000,110000,110000,135000,110000,135000,135000,135000,135000,110000,110000,110000,165000,135000
RENEWABLE ENERGY,27100,27100,33100,33100,18100,12100,12100,22200,27100,27100,22200,27100,27100,33100,40500,33100,18100,14800,14800,22200,27100,27100,27100,27100
TEXTURA,9900,9900,9900,9900,9900,9900,9900,12100,12100,9900,9900,9900,9900,9900,12100,9900,12100,9900,12100,12100,12100,9900,9900,12100
EPLUS,3600,3600,4400,4400,4400,3600,3600,3600,4400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
ARCTIC CAT,90500,74000,49500,40500,33100,40500,40500,49500,60500,74000,74000,74000,74000,90500,40500,40500,33100,33100,40500,49500,49500,49500,49500,60500
ZAGG,60500,74000,60500,60500,60500,60500,60500,90500,90500,90500,110000,74000,74000,74000,74000,74000,74000,74000,74000,90500,90500,90500,110000,90500
MARCUS,22200,22200,22200,22200,22200,27100,22200,18100,22200,27100,33100,33100,27100,27100,27100,33100,27100,27100,27100,27100,33100,33100,40500,40500
